MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
>my mA r>yk fy HlwyAt mHDrp bAl$kwlATp؟,AxTyk mnw mAmA hw HAb ynyrfـyk w <nt AtbEy fyh,AxTyk mnw > mAmA hw HAb yrkbhAlk w <nt AtbEy fyh,Atrkyh yA mw hw Em yHAwl y}r}k w >nt btsmEylw,sybk mnh ymA hw byHAwl Anh yDAyqk w Ant btsmEylh
>my mA r>yk fy HlwyAt mHDrp bAl$kwlATp؟,qwly mAmA ndyrw qAtw tAE Al$ykwlA,qﻮly > mAmA ndyrw qAtw tAE Al$ykwlA,yA mw $w r>yk bHlw mEmwl mn Al$wkwlA,ymA $w r>yk fy HlwyAt mEmwlp bAl$kwlATp
>nA >HbhA kvyrA xASp EndmA yTgY ElyhA TEm AlkAkAw,nHbw nmwt Elyh syrtw ky yjy fyh qw tAE AlkAkAw,nHbw nmwt Elyh syrtw ky yjy fyh qw tAE AlkAkAw,>nA bHbA ktyr xASp lmA tkwn TEmp AlkAkAw fy~A wADHp mnyH,>nA bHbhA ktyr xASp lmA yglb ElyhA TEm AlkAkAw
SnEthA fy AlEyd EndmA knt fy byt jdty,kymA drtw fy AlEyd End mAmA HfSp,kymA drtw fy AlEyd End mAmA HfSp,sAwytA bAlEyd lmA knt bbyt st~y,EmlthA fy AlEyd lmA knt fy dAr sydy
qbl Edp >yAm AjtmEnA mE Al>stA* ، qAl lnA : >Elm >n tsEyn bAlmA}p mnkm ldyhm m$Akl fy AlErD w Elyh f>ntm mjbrwn ElY >n ttdrbwA jydA,hAdAk AlnhAr ky drnA lArynyw mE mwsyw qAlnA ElAbAly bly tsEyn bAlmyp mnkm Endhm m$kl nhAr ﻟﻜﺴﭙﻮﺯy lAzm twntrynyw mn dwk,>dAk nhAr ky drnA lArynywn mE mwsyw qﺎlnA ElY bAly bly tsEyn bAlmyp mnkm Endhm m$kl nhAr ﻟﻜﺴﭙﻮﺯy dwnk lAzm twntrynyw mn drk,mn km ywm AjtmEnA mE Al>stA* w ql~nA bErf >nw tsEyn bAlmyp mnkwn Endwn m$Akl bAlErD lhyk lAzm ttdrbwA >ktr,qbl k*A ywm AtjmEnA mE Al>stA* qAlnA bErf Anh tsEyn bAlmyp mnkw Endhm m$Akl fy AlErD w E$An hyk fAntw mjbryn Ankw ttdrbwA mnyH
qAlt ly >smA': EndmA knA mjtmEyn ElY mA}dp AlE$A' >nA w EA}lty  AstEmlt klmp bAlfrnsyp,Almhm qAltly >smA knA qAEdyn ntE$Aw qAltly mA nErf wA$ qlt klmp bAlfrnsy,Almhm qﺎtly >smA knA qﺎEdyn ntE$Aw qAlt ly mA nErf w$ qﻠﺖ hkA klmp bAlfrnsy,mn km ywm AjtmEnA mE Al>stA* w ql~nA bErf >nw tsEyn bAlmyp mnkwn Endwn m$Akl bAlErD lhyk lAzm ttdrbwA >ktr,qAltly >smA' lmA knA mjtmEyn ElY sfrp AlE$A' >nA w Eylty qAltly Astxdmt klmp bAlfrnsyp
qAl ly >xy: mA*A؟,qAltly qAly xwyA wA$ mEnthA,qﺎtly qAl ly xwyA w$yA,qAltly >smA' lmA knA EAlE$A >nA w Eylty qAlt ly AstEmlt klmp bAlfrnsy,qAltly >smA' lmA knA mjtmEyn ElY sfrp AlE$A' >nA w Eylty qAltly Astxdmt klmp bAlfrnsyp
qlt lh : <*A tElm >Hd klmp f>ntm tjElwnh ytDyEhA,qltlw ntwmA AlwAHd ytElm klmp jdydp tbHrwhAlw,qﺘﻠﻮ yhwA yA ntm AlwAHd ytElm klmp jdydp tryHwhAlw,qAltly qAl ly >xy $w,qAltly qAly >xwyA Ay$
mA*A qlt yA >sAmp,wA$ qlt >sAmp,qﺘﻠﻮ yhwA yA ntm AlwAHd ytElm klmp jdydp tryHwhAlw,qltl~w <*A HdA bytElm klmp f>ntw bytnswA yAhA,qltlh <*A tElm wAHd klmp f>ntw HtDyEwhA
mnHnY,wA$ qlt >sAmp,w$ qlty > >sAmp,$w qlt yA >sAmp,Ay$ qlt yA >sAmp
mnHnY,mnHnY,mnHnY,mnHnY,mnHnY
nEm mnHnY AltEAwn,Ayh mnHnY AltEAwn,hAh mnHnY AltEAwn,<y mnHnY AltEAwn,Ah mnHnY AltEAwn
Altnsyq >ql drjp mn AltEAwn,AlkwrdynASyw >ql $y tjy tHt AlkwbﺮASywn,AlkwrdynASywn >ql $y tjy tHt AlkwbﺮASyn,Altnsyq >ql drjp mn AltEAwn,Altnsyq >ql drjp mn AltEAwn
>HDrt mnyp Alrfys,jAbtlnA mnyp Alrfys,jAbtlnA mnyp Alrfys,jbt mnyp Alrfys,jAbt mnyp Alrfys
>HDry mlAEqA,jyby mgrfp,jyby mgArf,jbt mnyp Alrfys,jyby mlAEq
xwlp mn fDlk >HDry lnA mlAEq,xwlp tEy$y jybylnA mgArf,xwlp rby yEy$k jybylnA mgArf,jyby mEAlq,jyby mlAEq
lm >jd >y mlEqp,HtY AlmgArf mAkA$,HtY AlmgArf mkAn$,xwlp mn fDlk jybylnA mEAlq,xwlp lw smHty jybylnA mlAEq
hA qd wjdt,sybwn >ny ﻟqyt,HtY AlmgArf mkAn$,mA lAqyt wlA mElqp,mA lqyt$ wlA mElqp
>nZry، >sqTt AlftAt ElY AlfrA$,sybwn >ny ﻟqyt,sybwn >ny ﻟqﻴﺖ,hA m$y AlHAl lAqyt,hyny lqyt
>nZry، >sqTt AlftAt ElY AlfrA$,$wfy dfqty fwq AlfrA$,$wfy TyHty fwﭪ lfrA$,$wfy hrhrty EAltxt,$wfy wqEty AlftAfyt ElY AlfrA$
qwlwA lmnyp >n SHnhA sybqY hnA <lY Hyn >Ewd mn AlEASmp,qwlwA lmnyp AlTbsy xlyh HtA nrwH ldzAyr w njy,qﻮlwA lmnyp AlSHn xlyh HtAn nrwH ldzAyr w njy,qwly lmnyp >nw SHnA HyDlwA hwn l>rjE mn AlEASmp,qwlwA lmnyp Anh SHnhA HySlwA hAn lbyn mA trjE mn AlEASmp
s>rjEh lhA mE qlyl mn Alskr,nbEtlk fyh Alskr,nbEtlk fyh Alskr,H rjElA yAh mE $wyp skr,H>rjElhA AyAh mE $wy mn Alskr
>yn hy sArp,sArp wyn rAhy,sArp wyny,wynA sArp,wyn hy sArp
tEAly yA sArp,sArp >rwAHy,sArp ArwAHy,wynA sArp,tEAly yA sArp
lHZp >nA qAdmp,>ny jAyp dqyqp brk,>ny jAyp dqyqp brk,tEy lk sArp,tEAly yA sArp
sArp ln t>ty yA >my fhy t$Ahd fylmA,sArp mA tjy$ mAmA >y t$wf fy Alfylm,sArp mA tjy$ > mAmA >y t$wf fy Alfylm,lHZp jAy,lHZp >nA jAyp
qwlwA lmnyp EndmA $Arft Alsnp AldrAsyp ElY AlAnthA' >rslt lnA Alrfys,mnyp qwlwlhA ky qryb yxlAS AlEAm bEtyly Alrfys,sArp mA tjy$ > mAmA >y t$wf fy Alfylm,sArp mA lH tjy yA mw Em ttfrj E flm,sArp m$ Htyjy ymA hy btHDr fylm
lm yEd hnAk bd mn Al>mr,mnyp qwlwlhA ky qryb yxlAS AlEAm bEtyly Alrfys,mnyp qﻠﮭﺎ ky EAd AlTfl Hykml bEtyly Alrfys,qwlwA lmnyp lmA qrbt Alsnp txlS bEttlnA Alrfys,qwlwA lmnyp lmA qrbt Alsnp AldrAsyp txlS bEttlnA Alrfys
lm yEd hnAk bd mn Al>mr,xlAS dwk sytrwtAr,fDt drk sytrwtAr,mA Dl fy mhrb mn AlmwDwE,mA fy$ dAEy llmwDwE
lw jA't fy wqthA lkAn >fDl,lwkAn bEtyhAly bkry SH,kwn bEtyhAly bkry SH,lw <jt wqtA kAn >Hsn,lw >jt fy wqthA lkAn >Hsn
>my mA r>yk >n n$rb bh AlHlyb,mAmA xlyh n$rbw byh AlHlyb,mAmA xlyh n$rbw byh AlHlyb,>my $w r>yk n$rb fy Hlyb,ymA Ay$ r>yk n$rb fyh AlHlyb
|h >rwY hnA,>rwY >y hnA,>ww >rwY >y hnA,|h >rwY hwn,|h >rwY hAn
Alrfys jAf qlylA yA >my,nA$f $wyp Alrfys mAmA,$AyH $wyp Alrfys > mAmA,|h >rwY hwn,Alrfys nA$f $wy ymA
yEny h*A >yDA ylzmh hdyp,lAzm nrjElhA kAdw fy AlTbsy,tsmY AdAtAnA lAzmw kdw,Alrfys nA$f $wy yA mw,Alrfys nA$f $wy ymA
EAdy،  AlvyAb >w $y' |xr,nwrmAl lbsp wlA,nwrmAl lbsp wlA HAjp,yEny hAd kmAn lAzmw hdyp,yEny h*A kmAn lAzmh hdyp
>yn,wyn,nwrmAl lbsp wlA HAjp,EAdy AlvyAb >w $y,EAdy >wAEy >w A$y
hl >nt jAd,wyn,wyn,wyn,wyn
hl >nt jAd,qwly wAllh,qﻮly wAllh,Em tHky jd,Ant jdy
lA >nA >mzH fqT,ntmsxr byk brk,ntmsxr byk brk,lA Em AmzH,lA >nA bmzH bs
*hbt  w xwlp Alywm <lY AljAmEp,xwlp yxy rHt AnA wyAk Alywm llAfAk,xwlp yxy rHt AnA wyAk Alywm llAfAk,rHt AnA w xwlp Alywm EAljAmEp,rHt >nA w xwlp Alywm EAljAmEp
r>ynA Al<ElAn AlxAS bntA}j AlsdAsy Al>wl,w $fnA lfy$Aj tAE AlswmAstr lwl,w $fnA lfy$Aj tAE AlswmAstr lwl,$fnA Al<ElAn AlxAS bntA}j AlsdAsy Al>wl,$wfnA Al<ElAn tbE ntA}j AlsdAsy Al>wl
HSlt xwlp ElY AlmEdl w hy  tdrs bklyp AlHqwq،   >nA >yDA HSlt ElY  AlmEdl   w  >drs fy klyp AlAqtSAd,xwlp jAbt w tqrA drwA w >nA jbt w nqrA Aykwnwmy,xwlp jAbt w tqrA drwA w >nA jbt w nqrA Aykwnwmy,$fnA Al<ElAn AlxAS bntA}j AlsdAsy Al>wl,jAbt xwlp mEdl w hy Ally btdrs bklyp AlHqwq >mA >nA fjbt mEdl  w >nA b>drs fy klyp AlAqtSAd
w wAHdp fy AlxzAnp,w wHdp >y fy AﻟﭙﻼkAr,w wHdp >y fy AﻟﭙﻼkAr,xwlp jAbt mEdl  w hy Em tdrs Hqwq >mA >nA fjbt  mEdl w Em >drs bklyp AlAqtSAd,jAbt xwlp mEdl w hy Ally btdrs bklyp AlHqwq >mA >nA fjbt mEdl  w >nA b>drs fy klyp AlAqtSAd
mA*A، mA*A qlt؟,wA$ wA$ qlty,w$yA w$ qﺎEdp ﺗqﻮly,wwHdp bAlxzAnp,w wHdp fy AlxzAnp
s>$try <vnyn mn AlnwEyp Aljydp w >HDrhA,n$ry zwj mn hAdwk AlmlAH njybhm,w$yA w$ qﺎEdp ﺗqﻮly,$w $w qlt,Ay$ Ay$ qlt
Sdqwny >ny s>HDrhmA,n$ry zwj mn hAdwk AlmlAH njybhm,n$ry zwz mn >dwmkA lmlAH njybhm,rH A$try tnyn mn AlnwE AlmnyH w jybwn,H>$try tntyn mn AlnwEyp Alkwysp w >jybhm
Sdqwny >ny s>HDrhmA,wAllh gyr njybhm,wAllh gyr njybhm,Sdqwny >n lH jybwn,Sdqwny Any Hjybhm
r>sy y&lmny,rAsy rAh  ywjE,rAsy ywjE,rAsy Em ywjEny,rAsy bwjEny
>mA HkAyp Alxbz,wAllh yA HkAyp Alxbz,wAllh yA HkAyp Alxbz,>mA qSp Alxbz,>mA qSp Alxbz
>nA >qwl lhA EA}$p >nA mryDp w hy tqwl A*hby fHsb,>nA ﻧqwlhA Ey$p >ny mryDp w hy tqwl rwHy brk,>nA ﻧqﻠﮭﺎ EAy$p >ny mryDp w hy ﺗqAl ly rwHy brk,>nA bql~A Ey$p >nA mryDp w hy btqly rwHy w bs,>nA >qwlhA EA}$p >nA EyAnh w hy tqwl rwHy wbs
fqlt fy nfsy lys mn EAdp EA}$p >n tfEl by h*A,w AnA ﻧqwl wA$ byhA Ey$p mA$y mAlfp dyrly hkA,w AnA ﻧqﻮl w$bAhA EAy$p m$ mAlfp dyrly kymA hk,>nA bql~A Ey$p >nA mryDp w hy btqly rwHy w bs,fqlt lHAly m$ mn EAdp EA}$p AnhA tEml fyA hyk
$Ery fy HAlp yrvY lhA,HtA >nA $Ery fy HAlp,HtY >nA $Ery fy HAlp,qlt lHAly mA lA bAlEAdp Ey$p tsAwy fyny hyk,fqlt lHAly m$ mn EAdp EA}$p AnhA tEml fyA hyk
mn Aljyd >nh lys ldynA |lp tSwyr h*A mn Hsn HZy,>rwzmA mAkA$ >bﺮAy mn zhry,>rwzmA mkAn$ AbﺮAy ElY qﺪ zhry,$Ery HAltw HAlp,$Ery fy HAlp btHzn
hyA >yn *hb AlxyT؟,hAyA wyn rAH AlxyT,>rwzmA mkAn$ AbﺮAy ElY qﺪ zhry,mnyH mA EnA kAmyrA hAd mn HZy,mnyH Anh mA EnA$ |lp tSwyr h*A mn Hsn HZy
lA m$klp ، hyA tmny $y}A,hAyA wyn rAH AlxyT,hAyA yA rAH AlxyT,yAllh wyn rAH AlxyT,ylA wyn rAH AlxyT
lA m$klp ، hyA tmny $y}A,mAkAn wAlw AtmnAy HAjp,Ht$y tmnAy HAjp,mA fy m$klp tmny $y,m$ m$klp ylA tmny A$y
Emr mdyd,lEqwbp lmyAt snA,lEqwbp lmyAt nsnA,Allh yTwl bEmrk,Emr Twyl
>wl mrp >Hs >ny kbrt HqA,yA mA$y mAlfp nkbr hkA,yA m$y mAlfp nkbr zy hk,>wl mrp bHs <ny kbrt En jd,>wl mrp >Hs Any kbrt Enjd
stkbryn $}t >m >byt,rAH tkbry Hbyty wlA krht,Htkbry Htkbry,rH tkbry <*A kAn EAjbk >w lA,Htkbry bdk >w bdky$
hyA qTEy qAlb AlHlwY,hAyA qTEy lAtArt,hAy qSy lAtArt,rH tkbry <*A kAn EAjbk >w lA,ylA qTEy qAlb AlHlw
mn AxtAr AlqAlb,$kwn xyrhA,$kwn xyrhA,yAllh qT~Ey AlkAtw,ylA qTEy qAlb AlHlw
>nA w EA}$p,>nA w Ey$p,>nA w Ey$p,myn AxtAr AlqAlb,myn AxtAr AlqAlb
fy AlwAqE lm nxtr $y}A bl h*A kl mA kAn ldyhm,ky tjy t$wfy mA xyrnAhA$ hAdA wA$ kAyn,>nA w Ey$p,>nA w Ey$p,>nA w EA}$p
>nA t>xrt bsbb m$klp Alnql bqyt fy AntZAr AlHAflp mA yqArb AlsAEp,ky tjy t$wfy mA xyrnAhA$ hAdA wA$ kAyn,ky tjy t$wfy mA xyrnAhA$ AdA w$ kAyn,bSrAHp nHnA mA AxtrnA $y hAd Ally lqynAh Endwn,AlSHyH mA AxtrnA$ A$y bs h*A kl Ally kAn Endhm
>nA t>xrt bsbb m$klp Alnql bqyt fy AntZAr AlHAflp mA yqArb AlsAEp,>nA dArhA byA Altrwﻧﺴﭙﻮr sAEp w AnA nsnA,>nA dArhA byA Altrwﻧﺴﭙﻮr sAEp w AnA nsnA,>nA t>xrt bsbb m$klp AlbASAt Dlytny nATr Alsrfys $y sAEp,>nA <t>xrt E$An m$klp AlmwASlAt Dlytny AstnY AlbAS qryb AlsAEp
<nh >wl nwfmbr,Alywm bﺮwmyy nwfmbr,Aw bﺮwmyy nwfmbr,Alywm 1 t$ryn AltAny,hyw >wl t$ryn AlvAny
>nA w EA}$p k*lk،  bqynA wAqftyn mA yqArb nSf sAEp hnAk,>nA w Ey$p nS sAEp wHnA wAqfyn lhyh,Any >nA w EAy$p nS sAEp wHnA wAqﻔﻴﻦ lhyh,kmAn >nA w Ey$p nTrynA $y nS sAEp hnyk,>nA w EA}$p kmAn DlynA wAqfyn qryb nS sAEp hnAk
>tElmyn yA EA}$p >nt lA tjdyn Alk*b >bdA,Ey$p ElAbAlk <nt mA tErfy$ qAE tkdby,EAy$p ElY bAlk <nt mA tErfy$ tkdby xlAh,btErfy lk Ey$p <nk mA btErfy tk*by nhA}yA,btErfy yA EA}$p Ant mA btErfy$ Alk*b bAlmrp
w mA*A tqwlyn Eny ؟ knt s>qwl lk mbA$rp mnAl lA tzEjy nfsk fhn yHDrn lk mfAj>p,mAlA lwkAn jyt AnA knt rAHp nqwlk dyrkt yA mnAl >m rAHyn dyrwlk swrbﺮyz gyr mA tqlqy$,mAlA kwn jyt AnA nqwl lk Twl > mnAl >m HA ydyrwlk swrbﺮyz gyr mA tqlqy$,btErfy lk Ey$p <nk mA btErfy tk*by nhA}yA,w Ay$ btqwly Eny knt H>qwlk ElY Twl mnAl lA ttEby$ HAlk hmA HyHDrwlk mfAj>p
<ntZry qlylA,>snAy $wyp,>snAy AlsH,w$w rH tqwly Eny knt lH qlk mbA$rp mnAl lA tEzby HAlk mHDrynlk mfAj>p,w Ay$ btqwly Eny knt H>qwlk ElY Twl mnAl lA ttEby$ HAlk hmA HyHDrwlk mfAj>p
fryAl hl AtSlt AlbArHp >m lA؟,fryAl EyTtty AlbArH wlA mA EyTy$,fryAl Eyty AlbArH wlA mA Eyty$,Twly bAlk $wy,Astny $wy
blY,Ayh,fryAl Eyty AlbArH wlA mA Eyty$,fryAl AtSlt mbArH $y,fryAl Ant AtSlty AmbArH <lA l>
HsnA l>nk AtSlt fy Almrp Al>wlY،  fqlt lEA}$p >n fryAl AtSlt،  qAlt lA <nhA mjrd rnp,Ayh,|h,<y,Ah
HsnA l>nk AtSlt fy Almrp Al>wlY،  fqlt lEA}$p >n fryAl AtSlt،  qAlt lA <nhA mjrd rnp,Ayh dkwr bﺎskw EyTty Almrp AllwlA qlt lEy$p fryAl EyTt qAltly lAlA ﺑﻴﭙﺎt brk,|h dkwr bﺎskw Eyty Almrp AllwlY qﺘﻠﮭﺎ EAy$p >y fryAl EyTt qﺎtly lA >y ﺑﻴﭙﺎt brk,Tyb l>nk AtSlt >wl mrp fqlt lEy$p >nw fryAl AtSlt qAltly lA btkwn tElymp bs,Tyb l>nk AtSlt fy Almrp Al>wlY fqlt lEA}$p Anh fryAl AtSlt qAlt lA hy bs rnp
lm >Elq,mA qlt wAlw,skt >nA,mA Hkyt $y,mA Elqt$
lkn fymA bEd EAwdt AlAtSAl f>jbt,>wmbEd EAwdty EyTty rybwndtlk,AmbEd EAwty Eyty hzyt AnA Elyk,bs bEdyn $tfk rjEty AtSlty qmt rdyt >nA,bs bEdyn rjEt AtSl frdyt >nA
EndmA qlt lhA lqd EAwdt fryAl AlAtSAl bk w qd >jbt ElY AtSAlhA qAlt ly lmA >jbt,ky qltlhA fryAl EyTt w rAny ryـﭙwndythA qAltly wElA$ ryـﭙwndtyhA,ky qﺘﻠﻬﺎ >y fryAl EyTt w Any hzyt ElAhA qAlt ly wElAh hzyty ElAhA,wqt qltlA >nw fryAl rjEt AtSlt fyky w >nA rdyt ElyhA qAltly ly$ rdyty,lmA qltlhA Anh rjEt fryAl AtSlt fyky w Anh rdyt ElY AtSAlhA qAltly mA rdyt$
fAstgrbt,AnA Hrt,Hrt AnA,wqt qltlA >nw fryAl rjEt AtSlt fyky w >nA rdyt ElyhA qAltly ly$ rdyty,>nA Astgrbt
hyA yA fTymp,>yA fTymp,>yA fTymp,>nA Astgrbt,>nA Astgrbt
hyA yA mymy,>yA mymy,>yA mymy,yAllh yA fTymp,ylA yA fTymp
mA*A snqwl >yhA AljzA}rywn؟,wA$ ﻧqwlw yA lyzAljyryAn,>yA mymy,yAllh yA mw,ylA yA mymy
ns>l Allh tE<lY >n ysEd Alfryq w ysEdnA mEhm,wA$ ﻧqwlw yA lyzAljyryAn,w$ ﻧqﻮlw yAlyzAljyryAn,$w bdnA nqwl yA jzA}ryyn,Ay$ Hnqwl yA jzA}ryyn
ns>l Allh tE<lY >n ysEd Alfryq w ysEdnA mEhm,nTlbw mn rby yArb yfrH ﻟﻴﻜﻴﭗ w yfrHnA mEAhm,nTlbw mn rby yArb yfrH ﻟﻴﻜﻴﭗ w yfrHnA mEAhm,Allh ybsT Alfryq w ybsTnA mEwn,ns>l Allh tEAlY Anh ysEd Alfryq w ysEdnA mEhm
bqy $hr bAlDbT ElY mwEd AlmbArAp,mAzAl $hr swAswA ElY AlmAt$,mzAl $hr qﺪqﺪ ElY AlmAt$,bAqy $hr bAltmAm ElY mwEd AlmbArAp,Dl $hr bAlDbT ElY mwEd AlmbArAp
<rfEwA >ydykm <lY AlsmA' w qwlwA yArb,AftHw ydykm llsmA w qwlw yArb,AftHwA ydykm llsmA w qﻮlwA yArb,ArfEwA <ydykwn llsmA w qwlwA yA rb,<rfEwA Aydykm llsmA' w qwlwA yArb
yArb AHfZhm,yArb AHfZhm,yArb AHfZhm,yA rb AHfZwn,yArb AHfZhm
|myn,|myn,|myn,yA rb AHfZwn,|myn
yArb >bEd Enhm AlblA' w AlmSA}b,yArb bEd Elyhm AlblA w AlmSAyb,yArb bEd Elyhm AlblA w AlmSAyb,|myn,|myn
|myn yArb,|myn yArb,|myn yArb,yA rb tbEd Enwn AlblAwy w AlmSAyb,yA rb AbEd Enhm AlblA' w AlmSA}b
<ntZry,AsnAy,|myn yArb,|myn yA rb,|myn yArb
>kmly >wlA,AsnAy,AsnAy,Astn~y,Astny
>kmly >wlA,kmly qbl,kmly AlsH,km~ly bAl>wl,kmly bAl>wl
yArb sdd xTAhm yArb,yArb sdd xTAhm yArb,yArb sdd xTAhm yArb,yA rb sdd xTAhwn yA rb,yA rb sdd xTAhm yArb
|myn,|myn,|myn,|myn,|myn
yArb AEm AlmSryyn,yArb AEmy mSr,yArb AEmy mSr,yA rb AEm AlmSryyn,yA rb AEm AlmSryyn
yArb vbt qAwAwy,yArb tbt qAwAwy,yArb tbt qAwAwy,yA rb AEm AlmSryyn,yA rb vbt qAwAwy
yArb,yArb,yArb,yA rb vbt qAwAwy,yA rb vbt qAwAwy
yArb klmA HAwl AlmSrywn Altsjyl fy Aljhp AlymnY sjlwA fy AlysrY,yArb yjyw ymrkyw fy lAdrwAt ymrkyw flAqw$,yArb yjyw ymrkyw fy lAdrwAt ymrkyw flAqw$,yA rb,yArb
yArb,yArb,yArb yjyw ymrkyw fy lAdrwAt ymrkyw flAqw$,yA rb klmA HAwlwA AlmSryyn yjybwA hdf mn Alymyn ysjlwA hnwn mn AlysAr,yA rb kl mA HAwl AlmSryyn Altsjyl fy Aljhp AlymnY sjlwA fy AlysrY
yArb lA tdE >hdAfhm tSyb HtY AlEArDp,yArb,yArb,yA rb,yArb
yArb lA tdE >hdAfhm tSyb HtY AlEArDp,yArb mA ﻳqys$ HtY lybwA,yArb mA ﻳqﻴﺴﺶ HtY lybwA,yA rb lA txly TAbAtwn tSyb HtY AlEArDp,yA rb mA txly >hdAfhm tSyb HtY AlEArDp
yArb >nr drbhm yArb,yArb nwrhm yArb,yArb nwrhm yArb,yA rb nw~r Tryqwn yA rb,yA rb tnwr drbhm yArb
w Sl Allhm w slm ElY sydnA mHmd w ElY |lh w SHbh >jmEyn,w Sl Allhm w slm ElY sydnA mHmd w ElY |lh w SHbh AjmEyn,w Sl Allhm w slm ElY sydnA mHmd w ElY |lh w SHbh AjmEyn,wSl Allh w slm ElY sydnA mHmd w ElY |lh w SHbh >jmEyn,w Sl Allhm w slm ElY sydnA mHmd w ElY |lh w SHbh >jmEyn
lA tSrxy >ythA AlxrsA',xlAS blA EyAT yA AlEـqwnp,yzy blA EyAT > bkw$p,HAj tSr~xy lk xrsA,mA tSrxy$ yA xrsA
>nA lst xrsA',mArAny$ Eـqwnp,m$ny bkw$p,HAj tSr~xy lk xrsA,>nA m$ xrsA
nHn nqwl lk lA tSrxy HtY lA ttDrr HbAlk AlSwtyp,qlnAlk xlAS blA EyAT thlky ly kwrd qwkAl,qﻠﻨﺎlk yzy blA EyAT thlky ly kwrd qﻮkAl,>nA mw xrsA,>nA m$ xrsA
<smEy yA ftAp,AsmEy yA Tflp,AsmEy > Tflp,nHnA Em nql~k HAj tSrxy m$An HbAlk AlSwtyp,AHnA bnqwlk mA tSrxy$ E$An mA ttDrr$ HbAlk AlSwtyp
s>*hb <lY hnAk w >nt st>tyn mEy,rAny rAH nrwH lhyh w <nt tbEyny,AsmEy > Tflp,AsmEy yA bnt,<smEy yA bnt
Algrfp mZlmp,rAny rAH nrwH lhyh w <nt tbEyny,rAny HnrwH lhyh w <nt tbEyny,lH rwH lhnyk w >nt lH trwHy mEy,H>rwH hnAk w >nt Htyjyy mEy
Algrfp mZlmp,rAhy AlZlmp hnA,>y AlZlmp hnA,Algrfp Etmp,Algrfp Etmp
x*y,>Hkmy,>Hkmy fy sAE,xdy,x*y
mymy x*y h*h <lY >my w ATlby mnhA >n  tt*wqhA,mymy >dy hAdy lmAmA qwlylhA tdwq,mAmA >ky > mymy Ady lmAmA qwly lhA Adwﭪ,mymy xdy hy l>my w xly~A tdwqA,mymy x*y h*h l<my w ATlby mnhA t*wqhA
yA >my tqwl lk sArp t*wqyhA hl nDjt,mAmA hAky qAltlk sArp dwqy <lA TAbt,mAmA >ky >y qAlt lk sArp dwqﻲ TAbt,yA mw btqlk sArp dwqy~A Astwt $y,ymA btqwlk sArp *wqyhA hy AstwYt
nEm lqd nDj,Ayh qwlylhA >w TAb,|h >w TAb qﻠﮭﺎ,yA mw btqlk sArp dwqy~A Astwt $y,Ah hyw AstwY
sArp tqwl lk >my lqd nDj,sArp qAltlk mAmA >w TAb,sArp >y qAlt lk mAmA >w TAb,Ay Astwt,Ah hyw AstwY
tgsl sArp hnA  Al>wAny AlnHAsyp,hnA sArp kAnt tgsl fy ﻟmAEn tAE AlnHAs,hnA sArp kAnt tgsl fy ﻟqﺮAbj tAE AlnHAs,sArp >my btql~k AstwY,sArp btqwlk Amy hyw AstwY
lm ybq swY >yAm qlA}l w y>ty >nAs lxTbp >xty,lyAmAt hAdy mAzAl $wyp brk w yjyw y$wfw >xty,hnA sArp kAnt tgsl fy ﻟqﺮAbj tAE AlnHAs,hwn sArp Em tjly AlmwAEyn AlnHAs,hAn sArp btjly TnAjr AlnHAs
xwlp mA*A tfElyn؟,lyAmAt hAdy mAzAl $wyp brk w yjyw y$wfw >xty,lyAmAt Ady mAzAl $wy brk w yjyw y$wfw >xty,mA Dl gyr km ywm w byjwA AljmAEp yxTbwA >xty,mA Dl$ gyr >yAm qlylp w yjy nAs lxTbp >xty
xwlp mA*A tfElyn؟,xwlp wA$ rAky dyry,xwlp w$ qﺎEdp Adyry,xwlY $w Em tsAwy,xwlp Ay$ btEmly
s>HDr lmjp TmATm kAlEAdp,rAH ndyr kAskrwt TmATy$ kwm dAbytwd,Hndyr kAskrwt TmATm kwm dAbytwd,lH jyb Hbp bndwrp mtl AlEAdp,Hjyb bndwrp mqblAt zy kl mrp
xwlp >ETyny qDmp,xwlp AETyny mEAk EDp,xwlp AETyny mEAk EDp,xwlp ETyny qDp,xwlp >ETyny qDmp
>my >y mkyAl >stEml ؟,mAmA bA$ nqys,mAmA bAh nmyz,yA mw b$w bdy ky~yl,Amy fy Ay$ Akyl
<ntbhy dbws,bAlAky bﻨﺎzp,yAh Endk bﻨﺎzp,yA mw b$w bdy ky~yl,<ntbhy dbws
>r>yt *lk l>ny >m$y HAfyp,$ty w AnA rAny ndwr bAlHfA,$fty w AnA qﺎEdp ndwr bAlHfA,dyry bAlk dbws,<ntbhy dbws
hyA <*hby w Artdy xfA >w dEyny w$>ny,AyA <nt rwHy Albsy blygp wlA >xTyny,>yA AntyA rwHy Albsy TrbAqp wlA AxTyny,$fty hy l>n bm$y HfyAnp,$wfty hyk E$An bm$y HAfyp
<stEmly wEA' AlAynwks,dyry bAlTAs tAE lynwks,>yA AntyA rwHy Albsy TrbAqp wlA AxTyny,yAllh rwHy Albsylk $HATp brjlk w Hl~y Eny,ylA rwHy w Albsy $b$b >w sybyny fHAly
